No,Name,SumareziType,Type,Key,Required,Readonly,Filterable,Japanese Label,Desc
1,transactionHeadId,BIGINT,long,True,,True,True,取引ID,取引毎に付与するID。【自動更新】自動採番
2,transactionDateTime,DATETIME,datetime,,,True,True,取引日時,取引テーブルの取引日時。（取引テーブルを参照）【自動更新】自動採番
3,transactionDetailId,INT,integer,True,,,True,取引明細ID,取引毎の明細に付与するID。この項目を設定しない場合、取引毎に0から採番。設定する場合は0〜999まで。（ver.2.10.0で追記）【自動更新】自動採番
4,parentTransactionDetailId,INT,integer,True,,,True,親取引明細ID,"紐付く親の取引明細がある場合、その取引明細IDを設定。※商品区分が、0（通常販売）,  4（バンドル(親)）の場合は設定できず、7（バンドル子）,  8（バンドル値引）の時は、バンドル(親)の  取引明細IDを設定しなければならない。（ver.2.10.0で追記）"
5,transactionDetailDivision,CHAR,integer,,True,,True,取引明細区分,取引明細を識別する区分。（1：通常、2：返品、3：部門売り）
6,productId,BIGINT,long,,,,True,商品ID,商品毎に付与するID。数字15桁以内。※商品情報が存在しない場合nullを設定。省略時null
7,productCode,VARCHAR,string,,,,True,商品コード,商品コード。（半角英数記号  20桁以内）※設定時、そのまま設定。※省略時、商品IDが設定されている場合、マスタから設定。以外はnull
8,productName,VARCHAR,string,,,,True,商品名,商品名。(85文字以内)※設定時、そのまま設定。※省略時、商品IDが設定されている場合、マスタから設定。以外はnull
9,taxDivision,CHAR,integer,,,,True,税区分,商品単価の税区分。(0：税込、1：税抜、2：非課税) ※設定時そのまま設定 ※省略時、商品IDが設定されている場合、マスタから設定。以外は0：税込
10,price,DECIMAL,decimal,,,,True,商品単価,"当時の商品単価。
※設定時そのまま設定
※省略時、商品IDが設定されている場合、マスタから設定。以外は0円"
11,salesPrice,DECIMAL,decimal,,True,,True,販売単価,"当時の販売価格。ターミナルで任意入力。
単価を修正した場合に設定。デフォルトは商品単価。"
12,unitDiscountPrice,DECIMAL,decimal,,,,True,単品値引,"販売単価の値引き金額を設定。
単価割引率が設定された場合、その割合から値引き金額を設定。（切捨て）"
13,unitDiscountRate,DECIMAL,decimal,,,,True,単品割引,"単品の割引率を設定。（単位：％）
※設定された場合、単品値引は必須"
14,unitDiscountDivision,INT,integer,,,True,True,単品値引き/割引区分,"単品値引き/割引時に指定された区分を設定。
※汎用マスタIDが設定される"
15,cost,DECIMAL,decimal,,,,True,原価,"商品の原価。(半角数字  整数部分8桁、少数部5桁  (小数点含む最大14桁))
※設定時そのまま設定
※省略時、商品IDが設定されている場合、マスタから設定。以外は0円"
16,quantity,INT,integer,,True,,True,数量,購入数。
17,unitNonDiscountSum,DECIMAL,decimal,,,True,True,値引き前計,販売価格×数量。
