No,Name,SumareziType,Type,Key,Required,Readonly,Filterable,Japanese Label,Desc
1,transactionHeadId,BIGINT,long,,,True,True,取引ID,"取引毎に付与するID。
【自動更新】自動採番"
2,transactionDateTime,DATETIME,datetime,,,True,True,取引日時,"取引日時。サーバーに送信された日時。販売日時は端末取引日時を参照。
【自動更新】サーバー時間"
3,transactionHeadDivision,VARCHAR,string,,True,,True,取引区分,"取引を識別する区分。
（1：通常、2：入金、3：出金、4：預かり金、  5：預かり金返金、6：ポイント加算、     7：ポイント減算、8：ポイント失効、10:取置き、13：マイル加算、 14：マイル減算）
※1:取引、10:取置きの場合、取引明細が必要。以外は不要（無視する）"
4,cancelDivision,CHAR,boolean,,True,,True,取消区分,"取引の取消を識別する区分。
(0:通常、1：取消）"
5,"unitNonDiscountsubtota
l",DECIMAL,decimal,,,True,True,単価値引き前小計,"取引明細の、値引き前計の合計。
【自動更新】明細より自動算出"
6,unitDiscountsubtotal,DECIMAL,decimal,,,True,True,単価値引き小計,"取引明細の、マイナス値の単価値引きの合計。
【自動更新】明細より自動算出"
7,subtotal,DECIMAL,decimal,,True,,True,小計,"取引明細の値引き後小計の合計。
※明細合計と異なる場合エラー"
8,subtotalDiscountPrice,DECIMAL,decimal,,,,True,小計値引き,"小計の値引き金額を設定。
単価割引率が設定された場合、その割合から値引き金額を設定。（切捨て）"
9,subtotalDiscountRate,DECIMAL,decimal,,,,True,小計割引率,"小計の割引を設定     （単位：％）
デフォルトは未設定。集計は、小計値引きしか見ない。
※設定された場合、小計計値引きは必須"
10,"subtotalDiscountDivisio
n",INT,integer,,,True,True,小計値引き/割引区分,"小計値引き/割引時に指定された区分を設定。
※汎用マスタIDが設定される"
11,pointDiscount,DECIMAL,decimal,,,,True,ポイント値引き,"使用ポイント  *  ポイント還元率。
※消費税含む"
12,total,DECIMAL,decimal,,True,,True,合計,"小計  -  小計値引き  -  ポイント引き  +  外税額  +  手数料  +  送料  を設定
※算出合計と異なる場合エラー"
13,taxExclude,DECIMAL,decimal,,,,True,外税額,"外税商品計  *  5  /  100。     ※税率が5%の場合
※  省略時は0を設定
※  小数点以下は税の丸め方式で指定の通り"
14,taxInclude,DECIMAL,decimal,,,,True,内税額,"合計  /  105  *  5。※税率が5%の場合
※省略時は0を設定
※ver.2.0.0でtaxはtaxIncludeに項目名が変更になりました。
※小数点以下は税の丸め方式で指定の通り"
15,roundingDivision,CHAR,string,,,True,True,端数値引区分,"販売時の合計金額の端数を丸めるか否かを設定する（ver.2.5.0で追加）
00:なし【初期値】
11:一の位を四捨五入,12:一の位を切捨,13:一の位を切上
21:十の位を四捨五入,22:十の位を切捨,23:十の位を切上
31:百の位を四捨五入,32:百の位を切捨,33:百の位を切上
41:千の位を四捨五入,42:千の位を切捨,43:千の位を切上
99:手入力"
16,roundingPrice,DECIMAL,decimal,,,True,True,端数値引額,端数値引金額（ver.2.5.0で追加）
17,cashTotal,DECIMAL,decimal,,,True,True,内現金支払金額,"合計金額の内訳     （現金払い）
【自動更新】※預かり金現金  -  釣銭"
18,creditTotal,DECIMAL,decimal,,,True,True,内クレジット支払金額,"合計金額の内訳     （クレジット払い）
【自動更新】※預かり金クレジット"
19,deposit,DECIMAL,decimal,,,,True,預かり金,"会計時に預かった金額。
（預かり金現金  +  預かり金クレジット  +  預かり金その他1-3)
※預かり金を正しく設定しないと、日報が正しく表示されません。"
20,depositCash,DECIMAL,decimal,,,,True,預かり金現金,"会計時に預かった現金金額。
※現金支払の場合必ず設定。（預かり金現金  -  釣銭)が現金支払額に設定されま
す。"
21,depositCredit,DECIMAL,decimal,,,,True,預かり金クレジット,"会計時に預かったクレジット金額。
※クレジット払いの場合必ず設定。預かり金クレジットが内クレジット支払金額に設定されます。
※預かり金を正しく設定しないと、日報が正しく表示されません。"
22,charge,DECIMAL,decimal,,,,True,釣銭,"現金の返却金額
※預かり金を正しく設定しないと、日報が正しく表示されません。"
23,changeDifference,DECIMAL,decimal,,,True,True,釣銭差額,合計  ＋  釣銭  ー  会計時に預かった金額  （ver.2.7.0で追加）
24,amount,INT,integer,,,True,True,数量合計,"取引明細の返品以外の数量の合計
（取引明細区分が2：返品以外の数量）
【自動更新】"
25,returnAmount,INT,integer,,,True,True,返品数量合計,"取引明細の返品の数量の合計
（取引明細区分が2：返品の数量）
【自動更新】"
26,costTotal,DECIMAL,decimal,,,True,True,原価合計,"明細の原価計の合計
【自動更新】明細より算出"
27,salesHeadDivision,CHAR,boolean,,,True,True,売上ヘッダ区分,"売上明細に売上対象がい商品を含むか否かの区分。
(0:売上対象のみ、1:売上対象外含む)
【自動更新】明細より算出"
28,inTaxSalesTotal,DECIMAL,decimal,,,True,True,内税対象額,"売上対象商品の内税販売合計金額
内税販売の場合は、税込・税抜き商品を対象"
29,outTaxSalesTotal,DECIMAL,decimal,,,True,True,外税対象額,"売上対象外商品の合計
外税販売の税抜き商品を対象"
30,nonTaxSalesTotal,DECIMAL,decimal,,,True,True,非課税対象額,"売上対象外商品の合計
非課税商品の合計を対象"
31,nonSalesTargetTotal,DECIMAL,decimal,,,True,True,売上対象外合計,"売上対象外商品の合計
外税販売の場合、税を含まない"
32,nonSalesTargetOutTaxTotal,DECIMAL,decimal,,,True,True,売上対象外外税合計,売上対象外商品の外税合計
33,nonSalesTargetInTaxTotal,DECIMAL,decimal,,,True,True,売上対象外内税合計,売上対象外商品の内税合計（ver.2.0.0で追加）
34,"nonSalesTargetTaxFree
Total",DECIMAL,decimal,,,True,True,売上対象外免税額合計,売上対象外商品の免税額合計（ver.2.7.0で追加）
35,nonSalesTargetCostTotal,DECIMAL,decimal,,,True,True,売上対象外原価合計,売上対象外商品の原価合計
36,nonSalesTargetAmount,INT,integer,,,True,True,売上対象外数量合計,"取引明細の返品以外かつ売上対象外の数量の合計
（取引明細区分が2：返品以外の数量）"
37,"nonSalesTargetReturnA
mount",INT,integer,,,True,True,"売上対象外返品数量合
計","取引明細の返品かつ売上対象外の数量の合計
（取引明細区分が2：返品の数量）"
38,newPoint,DECIMAL,decimal,,,,True,付与ポイント,"取引で付与されるポイント。
合計  *  ポイント率
会員IDが設定されている場合、会員情報を更新。※省略時は0を設定
※取置区分が10:取置きの場合、設定不可。"
39,spendPoint,DECIMAL,decimal,,,,True,使用ポイント,"取引で使用したポイント。
会員IDが設定されている場合、会員情報に更新。※省略時は0を設定"
40,point,DECIMAL,decimal,,,,True,現在ポイント,"取引前のポイント
※取引データには設定した値がそのまま設定されます。
（変更前のスマレジの会員ポイントに上書き設定されません。）"
